Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
4 Jan 2003,Cessna 525 CitationJet,PT-XJS,JS Táxi Aéreo,0,"São Paulo-Congonhas Airport, SP (CGH)","During the landing run on a wet runway 35L at Congonhas Airport, the aircraft aquaplaned. The pilot decided to veer to the runway intersection. Unable to decelerate, the aircraft ran down a  5 meter embankment and went through a fence. It hit a barbecue stand, destroying it and slightly injuring the vendor. The aircraft suffered serious damage to its wings.Contributing factorsa. Human Factor(1) Physiological - Did not contribute.(2) Psychological - ContributedBy the presence, as a contributing factor, of the perceptive aspects, the decision making and the overconfidence of the crew; and as suspected aspects, the complacency and attention.b. Material FactorDid not contribute.c. Operational Factor(1) Adverse Weather Conditions - ContributedThe rain that fell over Congonhas, moments before the accident, contributed to the occurrence of aquaplaning due to the high speed of the aircraft, culminating with the loss of control on the ground.(2) Poor Cabin Coordination - ContributedThe lack of assertiveness of the co-pilot in not commanding the flight or taking commands when checking that the aircraft was outside the appropriate parameters for landing in the existing conditions.(3) Weak Judgment - ContributedFor not performing a go around as a solution to the mistakes and failures committed during the approach, among which we can mention the excessively high descent gradient, the excessive speed, the non perception of hydroplaning and the cutting of the right engine.(4) Deficient Planning - ContributedEven informed that the runway was wet, the crew members did not outline any reaction in order to replan the procedures to be followed, adapting them to the new landing conditions, especially with regard to possible aquaplaning.(5) Little experience in the aircraft - contributedThe pilot's limited experience in the aircraft influenced the mistakes made on the final approach and landing.(6) Poor Oversight - ContrivedThe company allowed a pilot without an employment relationship and without an adequate adaptation to the aircraft to exercise the function of pilot, which influenced the errors made during landing",,Landing,Executive,"Morrinhos Airport, GO (SWMX)","SÃ£o Paulo-Congonhas Airport, SP (CGH/SBSP)",,"SÃ£o Paulo-Congonhas Airport, SP (CGH) -Brazil",RE,Runway Excursion,0.95,"The aircraft departed the runway surface during landing, which is a characteristic of a runway excursion. Contributing factors such as adverse weather conditions and operational errors further support this classification."
6 Jan 2003,Embraer EMB-145LR (ERJ-145LR),N16571,"Continental Express, opb ExpressJet Airlines",0,"Cleveland-Hopkins International Airport, OH (CLE)","An ILS runway 06L approach was performed. After touchdown, the flight crew was unable to stop the airplane on the runway. The airplane continued beyond the departure end, on extended runway centerline, and struck the ILS runway 06L localizer antenna. It came to rest with the nose about 600 feet beyond the departure end of the runway. The nose landing gear had collapsed rearward and deformed the forward pressure bulkhead.PROBABLE CAUSE: ""The captain's failure to attain a proper touchdown on runway, and his subsequent failure to perform a go-around, both of which resulted in a runway overrun. Factors were the company's inadequate dispatch procedures with their failure to provide all NOTAMS for the airport to the flight crew, and the snow covered runway.""",,Landing,Passenger - Scheduled,"Windsor Locks-Bradley International Airport, CT (BDL/KBDL)","Cleveland-Hopkins International Airport, OH (CLE/KCLE)",,"Cleveland-Hopkins International Airport, OH (CLE) -United States of America",RE,Runway Excursion,0.95,"The aircraft departed the end of the runway during landing, which is consistent with the definition of a runway excursion."
7 Jan 2003,Raytheon 390 Premier I,N390RB,Caribbean Aviation,0,Santo Domingo-Herrera Airport (HEX),"The pilot carried out a normal approach and landing on runway 19 at Herrera International Airport. Once on the ground the crew activated lift dump spoilers, but the system failed. They were unable to stop the airplane on the remaining runway. The airplane came to a stop, inverted beyond a street, calle San AntÃ³n, that is at the end of the runway and struck two vehicles on the calle San AntÃ³n.",,Landing,Unknown,Santo Domingo-Las AmÃ©ricas JosÃ© Francisco PeÃ±a GÃ³mez Int'l Airport (SDQ/MDSD),Santo Domingo-Herrera International Airport (HEX/MDHE),,Santo Domingo-Herrera Airport (HEX) -Dominican Republic,RE,Runway Excursion,0.95,"The aircraft was unable to stop on the remaining runway and came to a stop beyond the runway, which is consistent with the definition of a runway excursion."
8 Jan 2003,de Havilland Canada DHC-8-401Q Dash 8,N409QX,Horizon Air,0,"near Medford, OR","According to the flight crew, who were approaching Medford on a clear dark night, while the aircraft was descending on an extended right downwind for runway 32, seven or eight large birds suddenly appeared in front of the aircraft. Before the flight crew could take any action, several of the birds impacted the nose of the aircraft and its windshield. The force of the impact shattered the inner-most pane of the windshield on the captainÂs side of the aircraft, and numerous small chunks of the glass hit the captain in the face and chest. The captain, who was cut by the glass in several places, turned control of the aircraft over to the first officer, who executed a successful landing at Medford about five minutes after the encounter. It was later determined that, in addition to the damage to the windshield, birds had penetrated the composite nose cone as well as the stressed metal skin immediately in front of the windshield.PROBABLE CAUSE: ""The fracture and spalling of the inner-most pane of the aircraft's port side windshield while on a downwind for a night visual approach due to an imposed load beyond that required for windshield certification (multiple bird strikes). Factors include a dark night, and a flock of ducks (Lesser Scaups) flying in the location of the visual traffic pattern.""",,Approach,Passenger - Scheduled,"Seattle/Tacoma International Airport, WA (SEA/KSEA)","Medford-Rogue Valley International, OR (MFR/KMFR)",,"near Medford, OR -United States of America",BIRD,Bird Strike,0.95,"The report describes a collision with multiple birds during the approach phase, resulting in significant damage to the aircraft's windshield and nose cone, which aligns with the definition of a bird strike."
8 Jan 2003,Avro RJ100,TC-THG,THY Turkish Airlines,75,"0,9 km S of Diyarbakir Airport (DIY)","THY Turkish Airlines flight 634, an Avro RJ100 named 'Konya', crashed while on a VOR/DME approach to runway 34 at Diyarbakir Airport (DIY) in limited visibility conditions due to fog. The aircraft broke up after impacting the ground some 900 m short of the runway.Diyarbakir's runway 34 was not equipped with ILS.CONCLUSION1. The Flight Crew insisted on landing despite reaching the MDA at an altitude of 2800 ft and no approach lights or runway was visible.2. Bad weather conditions contributed to the cause of the accident.",,Approach,Passenger - Scheduled,Istanbul-AtatÃ¼rk International Airport (IST/LTBA),Diyarbakir Airport (DIY/LTCC),,"0,9 km S of Diyarbakir Airport (DIY) -Türkiye",CFIT,Controlled Flight Into Terrain,0.95,"The aircraft crashed during approach in limited visibility conditions without indication of loss of control, which aligns with the definition of Controlled Flight Into Terrain (CFIT)."
8 Jan 2003,Beechcraft 1900D,N233YV,"US Airways Express, opb Air Midwest",21,"Charlotte-Douglas International Airport, NC (CLT)","Air Midwest flight 5481, a Beechcraft 1900D, crashed shortly after takeoff from runway 18R at Charlotte-Douglas International Airport (CLT, North Carolina, USA. The 21 occupants aboard theairplane were killed.The accident airplane had undergone a detail six (D6) maintenance check between the night of January 6 and the morning of January 7, 2003. During this check the elevator cable tension was adjusted.In the process the elevator control system was incorrectly rigged, restricted the airplaneÂs elevator travel to 7Âº airplane nose down, or about one-half of the normal downward travel. This error was not detected prior to release to service.The airplane returned to service on the morning of January 7 and flew a total of nine flight legs before the accident flight.At 08:37 the aircraft was ready for taxi for a flight to Greenville-Spartanburg Airport, South Carolina, USA. At 08:46 the flight was cleared for takeoff from runway 18R. One minute later, immediately after the landing gear had been retracted, the nose pitched up to 20Â°. Both crew members reacted with surprise and the captain asked the first officer to help him.Both flight crew then attempted forcefully push the nose down. The nose continued to pitch up to 54Â° and the stall warning horn sounded. The aircraft's nose dropped and it rolled 127Â° to the left.The airplaneÂs roll attitude then stabilized at about 20Âº left wing down; the pitch attitude began to increase. About 08:47:24 the airplane rolled right through wings level, and the pitch attitude increased to about -5Âº. The nose dropped again and the airplane struck a US Airways maintenance hangar and came to rest about 1650 feet east of the runway 18R centerline and about 7600 feet beyond the runway 18R threshold.It appeared that, aside from the limit nose down elevator travel, the aircraft had an excessive aft center of gravity due to substantially inaccurate weight and balance calculations.PROBABLE CAUSE: ""The airplaneÂs loss of pitch control during takeoff.  The loss of pitch control resulted from the incorrect rigging of the elevator control system compounded by the airplaneÂs aft center of gravity, which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air MidwestÂs lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station; (2) Air MidwestÂs maintenance procedures and documentation; (3) Air MidwestÂs weight and balance program at the time of the accident; (4) the Raytheon Aerospace quality assurance inspectorÂs failure to detect the incorrect rigging of the elevator system; (5) the FAAÂs average weight assumptions in its weight and balance program guidance at the time of the accident; and (6) the FAAÂs lack of oversight of Air MidwestÂs maintenance program and its weight and balance program.""",,Take off,Passenger - Scheduled,"Charlotte-Douglas International Airport, NC (CLT/KCLT)","Greenville-Spartanburg Airport, SC (GSP/KGSP)",,"Charlotte-Douglas International Airport, NC (CLT) -United States of America",LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of pitch control during takeoff, leading to an uncontrollable flight attitude and subsequent crash. This fits the definition of 'Loss of Control - In Flight' as it involves the aircraft becoming uncontrollable while airborne."
9 Jan 2003,Fokker F-28 Fellowship 4000,PK-PJK,Pelita Air Service,0,Gorontalo-Jalaluddin Airport (GTO),"The aircraft was landing at Gorontalo-Jalaluddin Airport (GTO) runway 27 and taxied towards the apron via taxiway Bravo. While entering Bravo, there was an APU fire warning. The pilot took action by operating the fire control guard to extinguish the fire and proceeded to shut down the APU. The aircraft stopped at the normal position and passengers disembarked normally.",,Taxi,Passenger - Scheduled,,Gorontalo-Jalaluddin Airport (GTO/WAMG),,Gorontalo-Jalaluddin Airport (GTO) -Indonesia,F-NI,Fire/Smoke (Non-Impact),0.95,"The report describes an APU fire warning and subsequent fire extinguishing action while the aircraft was taxiing, which fits the description of fire or smoke in or on the aircraft not resulting from impact."
9 Jan 2003,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FITF,Harbour Air,0,"Eden Lake, BC","The pilot was landing on Eden Lake in glassy water conditions. During the landing sequence the left float structure collapsed and separated. The other float folded up. The aircraft settled into the water right side up and both the pilot and passenger were able to evacuate the aircraft uninjured, and were picked up by a boat. The aircraft rolled over but stayed afloat and was dragged to the shore where it will be disassembled and shipped to Vancouver for repairs.",,Landing,Passenger - Non-Scheduled/charter/Air Taxi,,"Eden Lake, BC",,"Eden Lake, BC -Canada",ARC,Abnormal Runway Contact,0.9,"The incident occurred during the landing phase and involved abnormal contact with the landing surface, resulting in structural damage to the aircraft's floats."
9 Jan 2003,Fokker F-28 Fellowship 1000,OB-1396,Transportes Aéreos Nacionales de la Selva - TANS,46,near Chachapoyas,"TANS Flight 222 departed Lima for a scheduled flight to Chachapoyas with an intermediate stop at Chiclayo. It departed Chiclayo at 08:17 and climbed to its assigned cruising altitude of FL190, which was reached approx. ten minutes after takeoff. The F-28 followed the V-3 airway, heading 075deg until 08:32. The crew then turned to the left heading 060deg, maintaining FL190 until 08:36. The flight then descended to FL130. After reaching that altitude five minutes later, the crew extended the speedbrakes in order to decelerate from 280 knots to 210 knots. Fifty seconds later, with the speedbrakes still extended, the crew turned to a heading of 135deg, aligning the plane with Chachapoyas' runway 13. The turn was accomplished in 45 seconds with a 30deg bank angle course change in 45 seconds. Shortly afterwards the Fellowship struck Cerro Coloque at an altitude of 10350 feet. Rescue workers found the wreckage two days after the crash.Until 1995 this F-28 was used as the Peruvian Presidential plane.PROBABLE ROOT CAUSES:1.- PROBABLE MAIN CAUSE.The probable cause of the accident of the aircraft Fokker F-28, MK1000, OB-1396 of the company TANS-PERU, is the Impact Into Terrain without Loss of Control - CFIT (Controlled Flight Into Terrain) caused by complacency (overconfidence) and lack of effective communication between the technical crew, which leads to the total loss of situational awareness.2.- PROBABLE SECONDARY CAUSES2.1 Lack of compliance with Standard Operating Procedures. The CVR transcript shows that the Technical Crew was not alert, nor did they make any operational indication such as breafing or check list about the descent to the Chachapoyas airfield.2.2 Lack of Crew Resource Management (CRM) There is no formal operational communication, in the CVR hearing there is a lot of informality and many comments out of place for a professional technical operation.2.3 Loss of Situational Awareness. From the CVR hearing it can be extracted that the crew due to complacency (overconfidence) did not comply with the rules and procedures established for the operation of this route and airport. The alertness of the Technical Crew was not adequate for the operation phase.3.- CONTRIBUTING FACTORS3.1 Death of the Co-Pilot's father, 4 days before the date of the flight, could contribute as a stress, fatigue and depression agent, which could influence his professional performance.3.2 The delay in the crew's payments and/or bonuses could have caused a stressful situation, which in the short, medium or long term contributes to fatigue, thus decreasing professional performance, which would affect flight safety.3.3 Organizational system and operational environment. The constant changes of management personnel cause labor instability within the company, a situation that could be an agent of stress that affects human performance in any field.4.- CONTRIBUTING HUMAN ERRORSThe following Human Errors were observed in the analysis of the performance of this flight:1) Poor judgment2) Poor planning3) Inadequate monitoring4) Poor visual perspective5) Poor visual perception6) Operational complacency7) Omitted procedures8) Disorientation due to loss of situational awareness",,Approach,Passenger - Scheduled,Chiclayo-Capitan FAP Jose Abelardo QuiÃ±ones Airport (CIX/SPHI),Chachapoyas Airport (CHH/SPPY),,near Chachapoyas -Peru,CFIT,Controlled Flight Into Terrain,0.95,"The report describes an in-flight collision with terrain without indication of loss of control, which is consistent with the CFIT category. The probable cause explicitly mentions 'Impact Into Terrain without Loss of Control - CFIT' due to complacency and lack of situational awareness."
14 Jan 2003,Britten-Norman BN-2A-26 Islander,HS-RON,Siam Air Sports,0,"1,5 km from Pattaya Airport (PYX)",,,En route,Parachuting,Pattaya Airport (PYX/YTBF),Pattaya Airport (PYX/YTBF),,"1,5 km from Pattaya Airport (PYX) -Thailand",UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to classify the occurrence into a specific ICAO category.
