date,aircraft_type,registration,operator,fatalities,location,category,narrative,aircraft_damage,phase,nature,departure_airport,destination_airport,other_fatalities,msn,fatalities_breakdown,aircraft_type_detailed,operator_detailed,location_detailed,country,class,class_name,confidence_score
26-Jan-19,Airbus A321-231,TC-OEB,Onur Air,0,Antalya Airport (AYT/LTAI),sub,"A thunderstorm with strong winds and a tornado caused several injuries as well as damage to aircraft, vehicles and airport equipment at Antalya Airport, Turkey.An Onur Air Airbus A321 (TC-OEB) suffered serious impact damage to the nose cone and right hand forward fuselage.","Substantial, written off",Standing,-,-,Antalya Airport (AYT/LTAI),0,968,Fatalities: 0 / Occupants: 0,Airbus A321-231,Onur Air,Antalya Airport (AYT/LTAI) -Türkiye,,ATM,"Occurrences involving Air traffic management or communications, navigation, or surveillance service issues",1
3-Feb-19,Boeing 787-8 Dreamliner,N26909,United Airlines,0,"Pacific Ocean, Pacific Ocean",non,"On February 3, 2019, about 0110 UTC, United Airlines flight 9, N26909, a Boeing 787-800, was enroute to Chengdu Shuangliu International Airport, Chengdu, China (ZUUU) over the Gulf of Alaska when a flight attendant slipped and fell and sustained a serious injury.Â  The remaining 13 crew and 207 passengers were not injured.Â  The airplane was not damaged. The regularly scheduled international passenger flight was operating under the provisions of 14 Code of Federal Regulations Part 121 from San Francisco International Airport (KSFO), San Francisco, California.According to the flight crew, the flight attendant lost her grip on the handrail while climbing the stairs to the crew rest area and fell down the stairs. After arrival the flight attendant went to a medical center and was diagnosed with a broken tibia.Probable Cause: an inadvertent slip and fall that resulted in a serious injury.",,En route,Passenger - Scheduled,"San Francisco International Airport, CA (SFO/KSFO)",Chengdu Shuangliu International Airport (ZUUU),0,34827/135,Fatalities: 0 / Occupants: 221,Boeing 787-8 Dreamliner,United Airlines,"Pacific Ocean, Pacific Ocean -United States of America",,LOC-I,Loss of control - inflight,1
9-Feb-19,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO),sub,"A Kenya Airways Embraer ERJ-190AR (5Y-KYR) was being serviced on the apron at Nairobi-Jomo Kenyatta International Airport in Kenya. Chocks were placed at the wheels. As the engine were powered, the aircraft jumped the chocks.It collided with another parked Kenya Airways Embraer ERJ-190AR (5Y-FFF). Both aircraft suffered serious damage.","Substantial, written off",Standing,-,-,-,0,19000468,Fatalities: 0 / Occupants:,Embraer ERJ 190AR (ERJ-190-100 IGW),Kenya Airways,Nairobi-Jomo Kenyatta International Airport (NBO) -Kenya,,GCOL,Ground Collision,1
13-Feb-19,de Havilland Canada DHC-6 Twin Otter 300,PJ-WII,Winair,0,Saint-Barthélémy-Rémy de Haenen Airport (SBH/TFFJ),non,"At the arrival at the parking, a gate agent is hit in the head by the right engine spinning propeller.Contributing factors:- the ground handler's failure to comply with safety measures designed to protect personnel from the hazards inherent around an operating aircraft;- the probable state of fatigue of the ground handler due to his late bedtime and his probable consumption of psychoactive substances;- the habit taken, during short rotations, by a part of the ground handling personnel, to disregard certain safety measures in order to gain time, which could have encouraged him to leave his position at the nose of the aircraft without waiting for the complete stop of the propellers.",,Standing,Passenger - Scheduled,Sint Maarten-Juliana Airport (SXM/TNCM),Saint-BarthÃ©lÃ©my-RÃ©my de Haenen Airport (SBH/TFFJ),0,682,Fatalities: 0 / Occupants: 6,de Havilland Canada DHC-6 Twin Otter 300,Winair,Saint-BarthÃ©lÃ©my-RÃ©my de Haenen Airport (SBH/TFFJ) -Saint Barthélemy,,GCOL,Ground Collision,1
24-Feb-19,Boeing 737-8E9 (WL),S2-AHV,Biman Bangladesh Airlines,1,Chittagong-Shah Amanat International Airport (CGP),min,"Biman Bangladesh Airlines flight 147 was hijacked by a 26-year old male passenger during the first leg of a flight from Dhaka, Bangladesh, to Chittagong and Dubai.The aircraft, a Boeing 737-800, departed Dhaka's Shahjalal International Airport at 11:13 UTC (17:13 local time). Some 15 minutes after takeoff the hijacker brandished a toy gun and walked up to the cockpit door. He requested to talk to the Prime Minister.At 11:39 UTC (17:39 local) the aircraft landed on runway 11 at Chittagong. The aircraft stopped on the main apron and an evacuation was carried out. Police and commandos stormed the aircraft and killed the suspect.",Minor,En route,Passenger - Scheduled,Dhaka-Shahjalal International Airport (DAC/VGHS),Chittagong-Shah Amanat International Airport (CGP/VGEG),0,40335/5715,Fatalities: 1 / Occupants: 148,Boeing 737-8E9 (WL),Biman Bangladesh Airlines,Chittagong-Shah Amanat International Airport (CGP) -Bangladesh,,UIMC,Unintended flight in IMC,1
25-Feb-19,de Havilland Canada EO-5C (DHC-7-102),N89068,United States Army,0,Pyongtaek-Desiderio AAF (RKSG),sub,"The EO-5C aircraft, assigned to the 501st Military Intelligence Brigade of the U.S. Army, suffered a hard landing at Pyongtaek-Desiderio Army Airfield in South Korea. The right-hand main landing gear collapsed causing propellers on engines no.1 and 2 to be damaged.The EO-5C is a DHC-7, modified as a low profile intelligence aircraft. It provides day and night, near all-weather, near real-time airborne communications and imagery intelligence collection and designated area surveillance.","Substantial, written off",Landing,Military,Pyongtaek-Desiderio AAF (RKSG),Pyongtaek-Desiderio AAF (RKSG),0,88,Fatalities: 0 / Occupants:,de Havilland Canada EO-5C (DHC-7-102),United States Army,Pyongtaek-Desiderio AAF (RKSG) -South Korea,,GCOL,Ground Collision,1
3-Mar-19,Beechcraft 1900D,7T-VIO,Tassili Airlines,0,Ouargla-Ain Beida Airport (OGX),sub,"The aircraft experienced a left-hand main landing gear collapse while landing at Ain Beida Airport, in Ouargla, Algeria. The aircraft sustained unknown damage and there were no injuries between the 16 occupants on board.",Substantial,Landing,Passenger - Non-Scheduled/charter/Air Taxi,,Ouargla-Ain Beida Airport (OGX/DAUU),0,UE-366,Fatalities: 0 / Occupants: 16,Beechcraft 1900D,Tassili Airlines,Ouargla-Ain Beida Airport (OGX) -Algeria,,GCOL,Ground Collision,1
10-Mar-19,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,N530EA,"PSA Airlines, opf American Eagle",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub,"PSA Airlines flight 5366, a CRJ-900LR, N569NN, collided with PSA Airlines flight 5141, a CRJ-702ER, N530EA while pushing back from gate E31 at the Charlotte Douglas International Airport (KCLT), North Carolina, USA. There were no injuries the passengers and crew onboard either airplane, and both airplanes received substantial damage.The CRJ-700 had pushed back from gate E14B and was waiting for taxi by spot 29W. The CRJ900 requested push back from gate E31, and the north ramp controller initially instructed them to ""10 and hold"". The push back was approved about 2 minutes later and the flight crew coordinated with ground crew. After pushing back about 30 feet, the tail of the CRJ-900 impacted the tail of theCRJ-700. After feeling the impact, the CRJ-900 crew aborted their engine start procedure and set the parking brake, while the CRJ-700 crew started their auxiliary power unit and shut down both engines after receiving damage reports from ATC and neighboring airplanes. An emergency evacuation was not performed on either aircraft. Post-accident examination revealed substantiallydamaged to the horizontal and vertical stabilizers and left elevator of the CRJ-900, and the horizontal stabilizer and left elevator of the CRJ-700.Probable Cause: ""Failure of the ground crew to maintain visual separation and avoid the holding aircraft.""","Substantial, repaired",Taxi,Passenger - Scheduled,"Charlotte-Douglas International Airport, NC (CLT/KCLT)","Augusta-Bush Field, GA (AGS/KAGS)",0,10308,Fatalities: 0 / Occupants: 61,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,"PSA Airlines, opf American Eagle","Charlotte-Douglas International Airport, NC (CLT/KCLT) -United States of America",,GCOL,Ground Collision,1
27-Mar-19,Boeing 737-7H4 (WL),N249WN,Southwest Airlines,0,"near Nashville International Airport, TN (BNA)",sub,"Southwest Airlines flight 975 struck a bird with the left horizontal stabilizer while descending through 2,500 feet on approach to the Nashville International Airport, Tennessee, USA. The airplane landed with no further incident. There were no injuries and the airplane was substantial damaged.Damage to the airplane included a 12 inch crack in the forward spar, requiring replacement of the horizontal stabilizer. Bird residue was identified as a Great Blue Heron.Probable cause: a collision with a bird.","Substantial, repaired",Approach,Passenger - Scheduled,"Pittsburgh-Greater Pittsburgh International Airport, PA (PIT/KPIT)","Nashville International Airport, TN (BNA/KBNA)",0,34951/2005,Fatalities: 0 / Occupants:,Boeing 737-7H4 (WL),Southwest Airlines,"near Nashville International Airport, TN (BNA) -United States of America",,BIRD,Birdstrike,1
8-Apr-19,British Aerospace 4100 Jetstream 41,HI1038,Sky High Aviation Services,0,Dominica Douglas-Charles Airport (DOM),sub,"A BAe Jetstream 41, operated by Sky High Aviation Services, suffered a runway excursion after landing on runway 27 at Dominica's Douglas-Charles Airport. Photos from the scene show an undercarriage leg and debris on the runway with the aircraft having come to rest in the grass next to the runway. All occupants evacuated from the aircraft.",Substantial,Landing,Passenger - Scheduled,Santo Domingo-Las AmÃ©ricas JosÃ© Francisco PeÃ±a GÃ³mez Int'l Airport (SDQ/MDSD),Dominica Douglas-Charles Airport (DOM/TDPD),0,41033,Fatalities: 0 / Occupants:,British Aerospace 4100 Jetstream 41,Sky High Aviation Services,Dominica Douglas-Charles Airport (DOM) -Dominica,,RE,Runway excursion,1
